occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,genus,lng,lat,formation,stratgroup,member,lithdescript,lithology1,lithification1,minor_lithology1,lithology2,lithification2,minor_lithology2,environment
248617,occ,37815,,14616,Alvarezsauridae indet.,family,64116,,Alvarezsauridae,family,64116,Lancian,,70.6,66,75223,,-106.427223,47.675835,Hell Creek,,,"""a sandstone channel filling"" (Hutchinson and Chiappe 1998)",sandstone,,,,,,coarse channel fill
255621,occ,30962,,14455,cf. Dryptosaurus sp.,genus,38605,,Dryptosaurus,genus,38605,Late Campanian,,83.5,70.6,54671,Dryptosaurus,-74.300003,40.299999,Marshalltown,Matawan,,"""normally not lithified... coarser sandy layer... characterized by siderite clay pebbles""",sandstone,unlithified,,,,,estuary/bay
255622,occ,,,14455,Theropoda indet.,unranked clade,38513,,Theropoda,unranked clade,38513,Late Campanian,,83.5,70.6,1691,,-74.300003,40.299999,Marshalltown,Matawan,,"""normally not lithified... coarser sandy layer... characterized by siderite clay pebbles""",sandstone,unlithified,,,,,estuary/bay
256913,occ,,,24924,cf. Saurornitholestes sp.,genus,38567,,Saurornitholestes,genus,38567,Early Campanian,Middle Campanian,83.5,70.6,81222,Saurornitholestes,-107.199997,35.700001,Menefee,Mesaverde,Allison,greenish-gray mudstone,mudstone,,,,,,fluvial indet.
260040,occ,,,25147,Acrocanthosaurus atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,Aptian,,125,113,7057,Acrocanthosaurus,-94.826385,33.895557,Antlers,Trinity,,,not reported,,,,,,terrestrial indet.
260041,occ,,,25148,Acrocanthosaurus atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,Aptian,,125,113,7059,Acrocanthosaurus,-95.806389,34.18,Antlers,Trinity,,"""fine yellow sand which locally contained masses of light gray clay nodules""",sandstone,,,claystone,,,terrestrial indet.
260042,occ,,,25149,n. gen. Acrocanthosaurus n. sp. atokensis,species,55482,,Acrocanthosaurus atokensis,species,55482,Aptian,,125,113,7059,Acrocanthosaurus,-95.792221,34.18,Antlers,Trinity,,"""dark, red-brown, arenaceous shale""","""shale""",,sandy,,,,terrestrial indet.
261839,occ,30830,,25306,n. gen. Segisaurus n. sp. halli,species,55543,,Segisaurus halli,species,55543,Pliensbachian,Toarcian,190.8,174.1,7096,Segisaurus,-110.525002,36.780556,Navajo Sandstone,Glen Canyon,,"Navajo Sandstone is a homogenous, friable, fine-grained, aeolian sediment almost exclusively quartzose and with a calcareous cement. The constituent sand grains, though somewhat angular, are frosted and pitted and in most cases are covered with a thin film of iron oxide which imparts a brick red color to the rock. In some places [it] is poor or entirely lacking in iron oxide, resulting in a buff to nearly white aspect...the aeolian origin...is best shown by the type of cross-bedding of the sediments. At the point where the fossil occurred this cross-bedding is exposed in the long sweeping curves of the fore-set beds, sharply truncated above and set together like wedges at various angles."" There is also a fine-grained, carbonaceous, supposedly freshwater limestone lens above the specimen. The shale appears as ""soft lumps"" that increase in frequency in the layers above the specimen and below the limestone.",sandstone,lithified,calcareous,"""shale""",poorly lithified,,dune
266833,occ,18107,,25658,Saurornitholestes sp.,genus,38567,,Saurornitholestes,genus,38567,Middle Campanian,,83.5,70.6,17718,Saurornitholestes,-112.966667,48.650002,Two Medicine,Montana,,"""silty claystone""",claystone,,silty,,,,"""floodplain"""
266834,occ,18108,,25658,Troodon cf. formosus,species,54818,,Troodon formosus,species,54818,Middle Campanian,,83.5,70.6,17718,Troodon,-112.966667,48.650002,Two Medicine,Montana,,"""silty claystone""",claystone,,silty,,,,"""floodplain"""
280200,occ,13172,,26767,Panoplosaurus sp.,genus,38825,,Panoplosaurus,genus,38825,Late Campanian,,83.5,70.6,17480,Panoplosaurus,-109.129166,45.823334,Bearpaw Shale,Montana,,"""Dark, soft shales predominate. There are occasional thin bands of sand and many brownish concretions which break into angular fragments. These sometimes contain marine fossils and sometimes a network of calcite seams...Some hard limestone concretions are crowded with these.""","""shale""",,,"""limestone""",,,marine indet.
280572,occ,10065,,13281,Troodon formosus,species,54818,,Troodon formosus,species,54818,Campanian,,83.6,72.1,7406,Troodon,-112.182777,47.8125,Two Medicine,Montana,,"brown, organic-rich, siliceous carbonates with mudstone inclusions; ""interbedded calcretes and mudstones""","""carbonate""",lithified,argillaceous,mudstone,,,terrestrial indet.
281688,occ,,,26819,Telmatornis priscus,species,119225,,Telmatornis priscus,species,119225,Late Maastrichtian,Early Paleocene,70.6,61.7,29473,Telmatornis,-75.166664,39.783333,Hornerstown,Rancocas,,,sandstone,poorly lithified,,,,,shallow subtidal indet.
281689,occ,,,26819,Palaeotringa littoralis ?,species,119222,,Palaeotringa littoralis,species,119222,Late Maastrichtian,Early Paleocene,70.6,61.7,29473,Palaeotringa,-75.166664,39.783333,Hornerstown,Rancocas,,,sandstone,poorly lithified,,,,,shallow subtidal indet.
281690,occ,,,26819,Graculavus velox ?,species,118786,,Graculavus velox,species,118786,Late Maastrichtian,Early Paleocene,70.6,61.7,29473,Graculavus,-75.166664,39.783333,Hornerstown,Rancocas,,,sandstone,poorly lithified,,,,,shallow subtidal indet.
281691,occ,,,26819,n. gen. Tytthostonyx n. sp. glauconiticus,species,143478,,Tytthostonyx glauconiticus,species,143478,Late Maastrichtian,Early Paleocene,70.6,61.7,29473,Tytthostonyx,-75.166664,39.783333,Hornerstown,Rancocas,,,sandstone,poorly lithified,,,,,shallow subtidal indet.
281692,occ,,,26819,Aves indet.,class,36616,,Aves,class,36616,Late Maastrichtian,Early Paleocene,70.6,61.7,39861,,-75.166664,39.783333,Hornerstown,Rancocas,,,sandstone,poorly lithified,,,,,shallow subtidal indet.
283829,occ,,,26998,Theropoda indet.,unranked clade,38513,,Theropoda,unranked clade,38513,Norian,,228,208.5,7466,,-23.513889,71.827499,Ørsted Dal,Fleming Fjord,,coarse-grained siliciclastic unit,"""siliciclastic""",,,,,,alluvial fan
